feature_index,mean_abs_shap
3887,1.8595001541449808e+17
3942,1.8579077079232986e+17
4103,1.8228627972036262e+17
5034,1.818919203530352e+17
554,1.8033233494370003e+17
3610,1.7984568627039462e+17
2242,1.7951707191210998e+17
5234,1.7764034274206083e+17
1537,1.742195904473351e+17
4193,1.7189729087536352e+17
1605,1.718592512058248e+17
12,1.5470146549661008e+17
2967,1.5340244845737277e+17
234,1.527747965213442e+17
5335,1.5277479651970387e+17
2083,1.51926732100104e+17
1597,1.489594581913397e+17
354,1.488641446380868e+17
3363,1.4860080187234944e+17
3809,1.4775336616468566e+17
1544,1.4604785620865466e+17
78,1.455806108197931e+17
5277,1.4308953818081002e+17
460,1.4294058941679442e+17
4295,1.2070684243592234e+17
1120,1.2047577385704251e+17
3844,1.1605567841757483e+17
4888,9.845771018614526e+16
2817,9.82391832185184e+16
5597,4.80520474607458e+16
1066,3.211898465596207e+16
754,320824748743239.6
804,272346099097520.4
4000,184299324031719.47
2711,179592663736065.06
3380,174437417586221.2
4935,170724645951012.3
3130,167597402188365.2
693,162675741656024.6
4026,147331517967045.8
3483,140900297283055.8
2521,68342456305487.336
4173,27422313544196.145
5659,17499240085566.059
3800,9101046413033.525
1458,5921829019205.579
5170,4277869472868.577
5253,3348311556149.4
3313,3144512149946.5
3051,2341681791149.042
759,2038531724412.5593
4879,1620713431101.7441
1569,1525655557619.5813
2367,1489233440347.5415
2983,1439900460231.228
2467,1427909262264.2627
5620,1007149987534.6829
1370,876614444398.0691
4950,737706541005.6642
4896,716431639931.9309
5204,598955832468.0796
5662,485559791161.25323
5676,357141459399.67316
3469,225625091948.28027
5656,207231776424.83215
5642,170981779887.71457
5665,145321434884.04892
2694,129256098893.68091
2975,92203606931.58951
5644,62719549953.23955
3476,56719469279.74564
5634,33094170327.15452
424,32034263613.26134
2162,30116635515.40373
3392,28574777445.839394
4730,25688968163.068024
5231,24452742932.71832
4847,24383565135.49078
4449,24233236860.910843
3788,24232787917.768837
4437,23837645842.386147
3660,23744086666.331066
4332,23732301003.977215
56,23668416481.52602
264,23574493330.477867
506,23568481936.95348
1112,23405509389.691147
4832,22695250625.154602
5225,22660677643.99215
945,22618238482.70504
5280,22543327622.27929
4395,22474595937.914818
4701,22177050331.535778
284,22132922329.804832
2514,22028460994.469948
3818,21836480087.60828
3322,21518593211.623123
1336,21413410346.81974
1441,21025555512.51066
990,20981935956.800293
2392,20620872286.404396
2577,19978232483.509743
5423,19970242018.054085
809,19838790949.877434
5242,19756394887.93635
3072,19731490770.381752
4591,19637602252.637524
2579,18755699604.12159
1882,18165997176.528877
219,17192614888.640305
5101,16287577664.794247
1399,16103820205.553692
3169,15806405734.182398
4827,15583957504.646152
2744,15306706054.595444
2185,15306049266.770407
3596,14727716257.122452
716,14686617549.390457
2301,14621932229.308262
4307,14141840597.808468
2187,13845666800.66742
4492,13764136244.826214
1031,13655048443.029799
4097,12695065642.247639
2918,12626467232.104412
1902,12626466734.739569
3297,12305359334.621517
2501,12257757939.939693
265,12217512871.29192
1775,11341684503.349981
523,11064288831.508259
3698,10240640324.077967
103,9674882814.398085
4625,9501549791.365461
4807,9470607410.461353
4612,9354455535.886349
384,8805574842.287584
4003,8506174857.017828
3526,8301554466.664517
1116,7778659842.372374
1245,7641009592.642845
3506,7621912937.004018
4057,7617643120.900371
5097,7592247401.214516
4226,6459852825.544794
3010,5415104822.1186905
1938,5314979120.857324
558,4858080726.599679
1282,4844957388.7437725
5276,4646351273.087262
652,4513214140.497697
3004,3907184509.083162
3575,3850688191.615056
5302,3452648325.3971267
2835,3447448912.0117006
1357,3379529694.755102
1428,3338913702.4012237
5650,2770336758.477205
732,1714965330.3770223
4861,1653282810.2270842
5636,768537232.142594
5639,711778766.289135
963,546599165.8439761
4200,546258590.6240681
3207,527686057.46241856
1925,525677839.2549097
1099,514102443.6294346
3064,511063582.2458547
5090,503312308.0802461
5646,498098819.2777325
5673,472851062.99490625
3379,465529226.0235718
2538,455960534.4898769
5375,452337496.3680776
1196,433493556.3239411
1038,432291671.66184014
5353,431412906.1998722
2805,431153081.40368044
5593,410258742.8563205
4187,406288179.08161694
4764,405465148.1501993
651,404230350.6179157
1450,393768070.51603556
1525,393693357.8291764
3909,386141319.775
1138,383465076.62936056
115,378958825.7454226
1860,378478324.02854437
5615,376297048.1339959
1090,375338467.5800562
4779,375219227.39705944
1448,364296207.5672843
858,359745631.6566769
5305,358974436.5614561
2588,355863417.58646107
1728,353785050.1778273
2717,347271476.6057395
4240,342136997.7775974
1305,336521770.92117214
4986,330458270.0267274
934,327523666.0574891
228,313785531.84172595
2372,310905396.4651597
4627,307919454.6750684
4253,307117375.9842125
1179,305179933.3384057
3395,298287089.9268789
4494,293659954.7361395
3319,286155503.2100917
5300,285720567.6855462
3361,285416167.4574485
2980,274401037.3056718
495,268582371.7364012
2269,267740050.57977262
414,254185042.75030905
4620,250167675.08715925
4736,248955525.7304085
4463,241364690.33352765
856,238325696.9353342
1144,237118405.9662289
3433,236134350.6772349
1948,230129685.69040266
3956,229166290.67789426
1846,228919902.6835765
2735,221933281.65509492
173,219463554.70217156
717,217557614.79711372
1207,217294977.7871019
2457,211568137.02316865
5470,209562741.80571955
510,207178949.97703058
2368,207109438.579629
5256,205907298.50478876
1721,200811916.89354864
3604,196799118.72089207
1957,194219371.29245478
5007,192145262.25017706
5454,190840566.75029343
1128,189824669.39040738
1347,186837466.09912732
5212,184989017.3397773
4163,181902576.3731299
1796,178724205.9458808
5137,178074998.25901422
2477,175580613.00124043
177,170025904.74803504
788,168971118.7608025
1364,161149365.37599543
1298,157669740.63529852
854,157222625.3197082
3457,156310539.40808085
5156,156067840.2512165
1454,155382202.7252761
1071,153483260.89998236
4911,153285992.00492203
3622,152884791.45160604
193,152414146.1894984
4860,147661649.98369244
1085,145351059.73762405
1087,145313155.49699664
2757,143134681.34963688
3957,141914250.42283052
1534,140899287.82004312
1389,139552108.0630371
3178,138678237.51328436
978,137182135.89140084
2465,136804698.53575897
1646,136389237.48254627
5464,134033582.7510827
1924,130616867.67543061
5091,128867856.80475132
2286,126936769.23450032
4567,125597576.37634674
236,125592563.76559976
2331,125434149.99566126
313,124770076.06243257
3835,121281359.5995748
1417,121022317.93346775
5560,120772688.73398618
4748,120679201.77264762
155,117791330.13769309
1919,117401640.49406138
1593,117056324.62301274
496,117040979.13297658
1562,116792703.11694324
4838,115557341.6977571
1693,115164369.57296276
4376,114691159.21022157
5643,114441443.18080923
2630,111399038.62436886
4582,110685133.21787247
3690,110188418.16809872
3796,108880049.00220947
3093,108261724.80662647
1393,108068061.06836447
955,106854150.14748278
3154,106272003.18597826
367,105237282.1928217
2332,105208416.49815476
205,103701673.94244912
3330,103357322.48769644
2399,103230935.13296868
3724,103087492.50193906
3357,102715469.76162538
3878,102071446.391956
5160,100857931.32065219
627,99150926.11507186
515,97731913.65926516
1073,96732237.36221088
3191,95102981.26271173
139,94421205.00373909
5129,94281572.10829642
4312,93814883.50317463
3952,92211780.0821126
2150,91822014.53870748
1238,88797343.13164838
5539,88181939.16083947
212,85801407.76624385
3725,85762142.1178221
4577,85496536.13483013
3494,85375606.42026022
573,84929340.16423503
4506,84655691.06678557
4049,83920739.28127286
1816,83863751.51075211
1127,83821080.15281716
4092,83191583.05319789
2837,82727481.7914122
4711,82522589.64850059
4356,82216085.20176864
1976,80570754.34394291
5404,80097063.451165
4798,79445218.4029238
5426,78553581.78373088
1930,78516723.498643
2540,77282174.94956264
4064,77134876.8576059
3442,76565424.464544
195,74977821.94936101
273,74976549.37443368
4947,74411643.65247318
5622,73552031.64513043
3298,72639681.21765885
5070,72218423.19296135
86,71047199.62585473
1527,70984863.62623039
535,70667118.92999724
898,69786603.28070569
2427,68858205.48852894
917,68106710.37709999
5652,68091301.8896707
1474,67414587.900162
578,66670165.74995285
300,65992756.347606994
2586,65735605.257413074
1659,65257479.48569294
5508,64838439.31297853
5168,64626943.32142025
2197,63467868.74833591
939,63405132.162411705
1229,63361177.89070745
5629,63051359.227021374
644,62431188.87288779
1907,62076109.64331497
943,61964113.11124982
3898,61937561.36770606
2678,61934562.21936406
2667,61665316.909734175
3765,61579267.09564169
909,61325973.47852279
3141,61283420.99100085
347,61132900.590717174
2292,60745190.16552868
